,SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,DURATION,MEAN_CONSO_BY_DAY,TOTAL_BILL_BY_SITE
0,0001BB,2018-01-01,2018-01-31,2 447,"316,46",30,81.56666666666666,35
1,0001BB,2018-02-01,2018-02-28,2 211,"286,82",27,81.88888888888889,35
2,0001BB,2018-03-01,2018-03-31,2 450,"317,32",30,81.66666666666667,35
3,0001BB,2018-04-01,2018-04-30,2 431,"315,00",29,83.82758620689656,35
4,0001BB,2018-05-01,2018-05-31,2 574,"333,37",30,85.8,35
5,0001BB,2018-06-01,2018-06-30,2 830,"365,27",29,97.58620689655173,35
6,0001BB,2018-07-01,2018-07-31,3 028,"390,39",30,100.93333333333334,35
7,0001BB,2018-08-01,2018-08-31,3 053,"393,99",30,101.76666666666667,35
8,0001BB,2018-09-01,2018-09-30,2 915,"378,35",29,100.51724137931035,35
9,0001BB,2018-10-01,2018-10-31,2 986,"387,05",30,99.53333333333333,35
10,0001BB,2018-11-01,2018-11-30,2 871,"372,47",29,99.0,35
11,0001BB,2018-12-01,2018-12-31,3 086,"399,30",30,102.86666666666666,35
12,0001BB,2019-01-01,2019-01-31,3 094,"381,40",30,103.13333333333334,35
13,0001BB,2019-02-01,2019-02-28,2 767,"345,87",27,102.48148148148148,35
14,0001BB,2019-03-01,2019-03-31,3 059,"378,18",30,101.96666666666667,35
15,0001BB,2019-04-01,2019-04-30,2 761,"340,84",29,95.20689655172414,35
16,0001BB,2019-05-01,2019-05-31,2 844,"349,26",30,94.8,35
17,0001BB,2019-06-01,2019-06-30,3 009,"369,19",29,103.75862068965517,35
18,0001BB,2019-07-01,2019-07-31,3 016,"371,20",30,100.53333333333333,35
19,0001BB,2019-08-01,2019-08-31,3 089,"380,42",30,102.96666666666667,35
20,0001BB,2019-09-01,2019-09-30,2 914,"361,36",29,100.48275862068965,35
21,0001BB,2019-10-01,2019-10-31,2 963,"366,70",30,98.76666666666667,35
