,SITE_NAME,COV
0,0001BB,0.0651174137699487
35,0001BR,0.04975889494252809
70,0001KO,0.102968320376164
105,0002BB,0.06587967509155379
140,0002BR,0.08281220939383137
175,0002KO,0.06863171967996085
210,0003BB,0.09521858115085156
245,0003BR,0.05591757212778638
280,0003KO,0.08134996098792541
291,0004BB,0.21307554186147676
327,0004BR,0.07050719770383568
362,0004KO,0.07736401286069149
397,0005KO,0.07663926104437355
417,0006BB,0.10449310573823832
452,0006BR,0.060731747658149454
472,0007BB,0.18716752339159162
507,0007BR,0.15296788456044857
542,0008BB,0.03648389770812808
566,0008BR,0.036284913699035574
569,0008KO,0.06114094291289065
604,0009BB,0.06701143756363617
639,0009BR,0.05312026414517434
650,0009KO,0.06338928589880401
661,0010BB,0.06960225780826287
696,0010BR,0.06147014989758346
731,0010KO,0.06115855874584621
766,0011BB,0.11911634029818982
801,0011KO,0.06581471111506906
836,0012BB,0.0815799005572759
871,0012BR,0.08159940423685183
906,0012KO,0.09176998930179948
941,0013BB,0.037071628604173214
946,0013BR,0.08169315841985478
981,0013KO,0.06388770281810421
983,0014BR,0.02520521487204241
985,0014KO,0.08610834017645103
1020,0015BB,0.06253918805694436
1055,0015BR,0.018173980243616522
1057,0015KO,0.13601251241200765
1092,0016BB,0.15494979003800383
1103,0016BR,0.1192863865602392
1138,0016KO,0.10383188013775495
1173,0017BB,0.06346426741658139
1208,0017BR,0.12125664877538646
1243,0017KO,0.14895787650035144
1278,0018BB,0.05476983934240314
1313,0018BR,0.09155257944739567
1348,0018KO,0.0626588346388205
1383,0019BB,0.062185723131198425
1418,0019BR,0.045106199780557556
1441,0019KO,0.14212904477503036
1476,0020BB,0.02429935067203116
1511,0020BR,0.0889285584595635
1545,0020KO,0.057178608560979255
1580,0021BB,0.01883361840802536
1604,0021BR,0.12404475538217791
1639,0021KO,0.06523667063306939
1674,0022BB,0.0716466543187194
1709,0022BR,0.08392651622505723
1744,0022KO,0.10918062426860137
1779,0023BB,0.07447808720221509
1814,0023BR,0.07899338022204765
1849,0023KO,0.13092902828430436
1884,0024BB,0.027742229838754507
1886,0024BR,0.034516676628410556
1921,0024KO,0.13541374347765808
1955,0025BB,0.07490072494259269
1990,0025BR,0.05566725377434687
2025,0025KO,0.03910128402933127
2060,0026BB,0.11174229231676387
2094,0026BR,0.09075309838339796
2129,0026KO,0.07316096861485151
2140,0027BR,0.07643399149749854
2175,0027KO,0.11431944426207558
2210,0028BB,0.11784310374294997
2212,0028KO,0.09589469897890124
2247,0029BB,0.06803397460385573
2282,0029BR,0.06225768635665154
2305,0029KO,0.09512356285102419
2340,0030BB,0.06638038470033265
2375,0030BR,0.0932999962712766
2410,0030KO,0.27756725833585844
2432,0031BB,0.06722358418301909
2467,0031BR,0.041958841091592404
2471,0031KO,0.15125682200517937
2506,0032BR,0.07477719413467701
2541,0032KO,0.09828679774072345
2576,0033BB,0.0880343067617314
2611,0033KO,0.14570524671511437
2646,0034BB,0.08253685060107896
2648,0034BR,0.10097423048688195
2682,0035BB,0.15931791843717233
2684,0035BR,0.05722490879815238
2719,0035KO,0.0812706345596691
2754,0036BB,0.16609772978574966
2787,0036KO,0.07722003254169672
2822,0037BB,0.025618226187300468
2824,0037BR,0.5031603843421768
2829,0037KO,0.0408147885644159
2864,0038BB,0.2854278707064084
2901,0038BR,0.07043798837821194
2936,0038KO,0.05152636492635155
2971,0039BB,0.005908363192803224
2973,0039BR,0.08965562645605359
2977,0039KO,0.11341484944292898
3012,0040BR,0.04587140957068753
3015,0040KO,0.0779216609744795
3026,0041BR,0.0627702108625779
3061,0041KO,0.11593221790567595
3096,0042BB,0.011108155636571655
3131,0042BR,0.052130604676115515
3166,0042KO,0.03228912770794072
3201,0043BB,0.11643338958304651
3236,0043BR,0.005668222974193
3239,0044BB,0.12146123364715336
3250,0044BR,0.039176844409902524
3253,0044KO,0.10466923151159367
3284,0045BB,0.20753721583487544
3319,0045BR,0.1169951397529243
3354,0045KO,0.16470491640798138
3389,0046BB,0.019406010224853065
3424,0046BR,0.07351883105672649
3459,0046KO,0.06291716891447624
3494,0047BB,0.154210909090909
3496,0047BR,0.04863424331440644
3531,0047KO,0.040971054148716865
3560,0048BB,0.122088778388525
3595,0048BR,0.11698006904030722
3630,0048KO,0.006881309960319445
3632,0049BB,0.09009978649419047
3667,0050BR,0.1528972949908158
3700,0050KO,0.2353418874835454
3735,0051BB,0.03172242874845107
3737,0051BR,0.04828219686239151
3739,0051KO,0.2896955984786766
3776,0052BR,0.09212730074624417
3811,0052KO,0.07813124383060342
3846,0053BR,0.07044283076530677
3881,0053KO,0.07067942294570917
3916,0054BB,0.07804079692547787
3951,0054BR,0.07009383532872644
3986,0054KO,0.11640855597235585
4021,0055BR,0.07272731633221823
4023,0055KO,0.07929668349825528
4058,0056BB,0.71571714858288
4060,0056BR,0.05562221215082769
4095,0056KO,0.03643977143996248
4130,0057BR,0.06702035264562027
4165,0057KO,0.06446074166478558
4200,0058BR,0.29894289642888255
4203,0058KO,0.1421252094414544
4238,0059BR,0.07003384326542755
4273,0059KO,0.1306014699912684
4308,0060BB,0.04573961462885565
4343,0060BR,0.05972631277945675
4378,0060KO,0.029755561004536406
4413,0061BB,0.06667873801697116
4448,0061BR,0.011521489391736302
4451,0061KO,0.09074603041754332
4456,0062BB,0.03072178939254707
4491,0062BR,0.03995074582332893
4526,0063BB,0.10295621209411623
4561,0063BR,0.08446712757268847
4596,0063KO,0.027327492657308758
4631,0064BB,0.0989905194489466
4650,0064BR,0.015249961011505796
4653,0064KO,0.037122064768924004
4688,0065BB,0.06287909222522955
4723,0065BR,0.16142589880690134
4758,0066BB,0.04301003751087212
4769,0066BR,0.04638151514644213
4804,0067BB,0.009941946553223497
4806,0067BR,0.1427260728824669
4841,0068BB,0.007863617263941403
4843,0068BR,0.22448274742970814
4878,0069BB,0.03716813514510249
4897,0069BR,0.0099738504616666
4899,0070BB,0.16628359684437025
4934,0070BR,0.04269463850097189
4969,0070KO,0.049442356868758995
5004,0071BB,0.17736178891397772
5006,0071BR,0.23154316871242994
5009,0071KO,0.026408678188393455
5044,0072BB,0.07021575413456017
5079,0072BR,0.12470018191728274
5111,0072KO,0.07635715080188106
5122,0073BB,0.1668004848802842
5157,0073KO,0.13779851704322524
5192,0074BB,0.025982268812427073
5227,0074BR,0.16258961151196993
5262,0074KO,0.45395433374745514
5268,0075BB,0.0
5270,0075BR,0.06152347612765161
5305,0076BB,0.005317088629881235
5307,0076BR,0.2516581186145797
5315,0076KO,0.07442805819556618
5339,0077BB,0.059996694397002906
5341,0077BR,0.09889886494637261
5376,0077KO,0.04622296801846954
5411,0078BR,0.07994777482165903
5446,0078KO,0.09126596465310594
5473,0079BB,0.019622564117348116
5508,0079BR,0.1118586296055746
5543,0080BB,0.05545405882738408
5578,0080BR,0.10110573531340773
5613,0080KO,0.2245935369346835
5615,0081BB,0.1324395518214991
5639,0081BR,0.04628786400315653
5650,0081KO,0.03430919080954083
5685,0082BB,0.01790542263939195
5687,0082BR,0.2044008575543704
5690,0082KO,0.1359602394132096
5721,0083BB,0.06066134106123509
5742,0083BR,0.09054840290857877
5777,0083KO,0.14131572190838262
5812,0084BR,0.3459776643817701
5823,0084KO,0.17421654376128684
5834,0085BB,0.0537842331416658
5869,0085BR,0.5364216670618122
5872,0085KO,0.05350555765681313
5907,0086BB,0.06507740716623851
5918,0086BR,0.11394399303872334
5953,0086KO,0.05783539116258031
5988,0087BB,0.06932478461230211
5990,0087KO,0.08366545015128796
6001,0088BB,0.06704822827025543
6036,0088BR,0.07327045615266391
6071,0088KO,0.07391298223254546
